Resultfile Programm VECTO_CSE 2.0.1-pre2 Comp 04/06/2014
Datafile: ,d:\Work\vecto-cse.git\CSE\bin\Debug\DemoData\DataDemo_HS.csdat

Time,Lat,Long,Heading,v_veh_GPS,v_veh_CAN,vair_ar,beta_ar,n_eng,tq_l,tq_r,t_amb_veh,t_tire,Satelites,Zone (UTM),Lat (UTM),Long (UTM),Sec_ID,Dir_ID,Lat (root),Long (root),dist (root),slope_deg,altitude,v_veh,dist,vair_ic,vair_uf,vair,beta_ic,beta_uf,beta,vwind_ha,vwind,vwind 1s,omega_wh,omega_p_wh,tq_sum,tq_sum_1s,tq_sum_float,t_float,F_trac,F_acc,F_grd,F_res,v_veh_1s,v_veh_avg,a_veh_avg,v_veh_float,t_amp_stat,p_amp_stat,rh_stat,vair_sq
[s],[mm.mm],[mm.mm],[°],[km/h],[km/h],[m/s],[°],[rpm],[Nm],[Nm],[°C],[°C],[#],[-],[m],[m],[-],[-],[m],[m],[m],[°],[m],[km/h],[m],[m/s],[m/s],[m/s],[°],[°],[°],[m/s],[m/s],[m/s],[rad/s],[rad/s2],[Nm],[Nm],[Nm],[s],[N],[N],[N],[N],[km/h],[km/h],[m/s2],[km/h],[°C],[mbar],[%],[m/s]
45054,2873.71717268657,456.325925074627,104.10447761194,24.5675074626866,25.3045326865672,5.03730845771642,3.30686567164179,841.417910447761,425.677611940298,329.15671641791,20,40,10,32,5305603.09106311,395762.187704792,0,0,0,0,0,0,0,24.5675074626865,2.32180509950248,5.03730845771642,5.40282714562273,5.69483134365934,3.30686567164179,3.32150588057165,2.50733031847341,1.48843034729198,1.18086755207678,1.12801365316887,24.4758548709404,-0.00835760898032111,754.834328358209,400.328815523677,-587.761800284163,3.66338429888574,2706.30418838264,-1679.12029945493,0,2706.30418838264,24.5257306033679,24.5257306033679,-0.067058094370029,24.167456338324,24.8,1015.1583,38.7081,32.803776031771
45055,2873.71695485148,456.330449603961,82.4257425742574,24.1148811881188,24.8383276237624,5.00240594059406,2.46623762376238,831.826732673267,-537.932673267327,-638.478217821782,20,40,10,32,5305602.58575811,395767.816783677,0,0,0,0,0,0,0,24.1148811881188,7.93636171617161,5.00240594059406,5.36539202157938,5.63941008273663,2.46623762376238,2.48087783269223,1.91288869051428,1.40738819420366,1.11657159821737,1.12029608592828,24.1968588187587,-0.00374410565609344,-1176.41089108911,-989.300254876973,-772.237158537462,3.7323925546452,-4245.63771993959,-3994.16328114104,0,-4245.63771993959,24.1238480541123,24.1238480541123,-0.159717456894202,23.9371038443802,24.8,1015.15,38.65,32.1840544923462
45056,2873.71682782178,456.335789009901,53.9108910891089,23.5807425742574,24.2881648514851,5.41725742574257,3.49435643564356,822.722772277228,-554.369306930693,-666.90297029703,20,40,10,32,5305602.23032822,395774.464021812,0,0,0,0,0,0,0,23.5807425742574,14.5592345434543,5.41725742574257,5.81034608468203,5.96146934043104,3.49435643564356,3.50899664457342,2.7119282145964,1.04061699977125,0.825588413596289,0.946251824334941,23.9320353456219,0.000216006095543854,-1221.27227722772,-1225.23693755514,-1049.3534216466,3.81691524080994,-4461.67608028195,-3628.4834696478,0,-4461.67608028195,23.5785050485246,23.5785050485246,-0.14514236077073,23.6397686232298,24.8,1015.14,38.58,35.9687190721796
45057,2873.71679138614,456.340962079208,50.3465346534653,23.1946534653465,23.8904930693069,4.2870297029703,2.49257425742574,811.628712871287,-570.946534653465,-674.372277227723,20,40,10,32,5305602.04645915,395780.9070795,0,0,0,0,0,0,0,23.1946534653465,21.0441193344334,4.2870297029703,4.59810643873077,4.97783901391069,2.49257425742574,2.5072144663556,1.89233496855055,1.92910195559996,1.53048068937887,1.49057477517941,23.6093222388794,-0.00604817067522787,-1245.31881188119,-1247.67268895206,-1606.35999177252,3.88022803010446,-4563.03120227525,-2160.25041140237,0,-4563.03120227525,23.1831729242231,23.1831729242231,-0.0863300438954807,23.1551759728288,24.8,1015.13,38.51,25.4205339318708
45058,2873.71675584158,456.346074257426,53.9108910891089,22.7514158415841,23.4339583168317,4.1500297029703,1.86891089108911,798.613861386139,-733.942574257426,-847.317821782178,20,40,10,32,5305601.8656176,395787.274312976,0,0,0,0,0,0,0,22.7514158415841,27.4314228272827,4.1500297029703,4.45116540361976,4.83594423669657,1.86891089108911,1.88355110001896,1.4467242627458,1.90411064330832,1.51065347353185,1.44159098005828,23.2307355554229,-0.00288008127391803,-1581.2603960396,-1688.89587295363,-2458.05223987437,3.95593452362345,-5811.1659543536,-3890.85233274172,0,-5811.1659543536,22.7422549750024,22.7422549750024,-0.155596128919823,22.4833089381689,24.8,1015.12,38.44,23.7233094931432
45059,2873.71666762376,456.351084455446,69.950495049505,21.9324356435644,22.5904087128713,4.6810297029703,3.44237623762376,774.485148514852,-2253.33168316832,-2191.86732673267,20,40,10,32,5305601.58950804,395793.512744524,0,0,0,0,0,0,0,21.9324356435643,33.6577095709571,4.6810297029703,5.02069598496244,5.24056940070498,3.44237623762376,3.45701644655361,2.63743919078072,1.13340286397674,0.899201409011908,0.900411053232725,22.528859748969,0.0111603149364324,-4445.19900990099,-4264.63517302225,-2870.97911572896,4.105002232078,-16456.1894968751,-9013.08732864404,0,-16456.1894968751,21.8927240466621,21.8927240466621,-0.360689039200947,21.6516716377112,24.8,1015.11,38.37,27.570150071135
45060,2873.71646673267,456.355844851485,89.5544554455445,20.4256534653465,21.0384230693069,4.87749504950495,3.5,972.079207920792,-1783.38217821782,-1478.32277227723,20,40,10,32,5305601.11031435,395799.436220889,0,0,0,0,0,0,0,20.4256534653465,39.5305500550055,4.87749504950495,5.23141730892775,5.3212801605216,3.5,3.51464020892985,2.74410401957977,0.615690737526766,0.488467072296907,0.524918015334764,28.2766379473273,0.0589696640834717,-3261.70495049505,-3350.63980001961,-3510.19914399205,4.40724937279269,-15822.5919541738,-7577.22926594189,0,-15822.5919541738,20.4892543868248,20.4892543868248,-0.304075580825408,20.6613764468466,24.8,1015.10252475248,38.3138861386139,28.3738497969976
45061,2873.71617633663,456.360327128713,103.811881188119,19.6787227722772,20.2690844554455,5.04258415841584,3.5,1001.18811881188,-2049.16435643564,-1716.37128712871,20,40,10,32,5305600.47158811,395805.010242172,0,0,0,0,0,0,0,19.6787227722772,45.1018294829482,5.04258415841584,5.40848566329944,5.41891567730644,3.5,3.51464020892985,2.78116054052043,0.485261399301925,0.384989087163922,0.384127932451167,29.1233818418592,0.00619217473892378,-3765.53564356436,-3734.09056955201,-3215.38319037106,4.57474560643035,-20139.5672597972,-6843.06039215941,0,-20139.5672597972,19.6388123713361,19.6388123713361,-0.27385659358015,19.564967458833,24.8,1015.11,38.34,29.4624729005354
45062,2873.71584425743,456.364535742574,103.811881188119,18.4083366336634,18.9605867326733,4.95059405940594,3.5,1154.68811881188,-2086.22871287129,-1703.11188118812,20,40,9.96039603960396,32,5305599.76181041,395810.241958263,0,0,0,0,0,0,0,18.4083366336633,50.3967906765676,4.95059405940594,5.30982055112075,5.26779992428148,3.5,3.51464020892985,2.80679383141737,0.468980864726388,0.372072691683479,0.377582608387801,33.588515844878,0.0516974588668287,-3789.34059405941,-3760.1162042937,-740.140168275483,4.89158442024775,-24577.1999186422,-8998.08079385138,0,-24577.1999186422,18.407400745025,18.407400745025,-0.361097495888204,18.9444971818974,24.8,1015.12,38.38,27.8051071146608
