Resultfile Programm VECTO-CSE 2.01 Comp 12.05.2014
Datafile: ,J:\TE-Em\Projekte\I_2012_08_HDV_CO2_LOT3\Arbeitsordner\CSE\Release_Packages\2.01\Test\WorkingDir\DemoData\DataDemo_LS2.csdat

Time,Lat,Long,Heading,v_veh_GPS,v_veh_CAN,vair_ar,beta_ar,n_eng,tq_l,tq_r,t_amb_veh,t_tire,Satelites,Zone (UTM),Lat (UTM),Long (UTM),Sec_ID,Dir_ID,Lat (root),Long (root),dist (root),slope_deg,altitude,v_veh,dist,vair_ic,vair_uf,vair,beta_ic,beta_uf,beta,vwind_ha,vwind,vwind 1s,omega_wh,omega_p_wh,tq_sum,tq_sum_1s,tq_sum_float,t_float,F_trac,F_acc,F_grd,F_res,v_veh_1s,v_veh_ave,a_veh_ave,v_veh_float,t_amp_stat,p_amp_stat,rh_stat,vair_sq
[s],[mm.mm],[mm.mm],[°],[km/h],[km/h],[m/s],[°],[rpm],[Nm],[Nm],[°C],[°C],[#],[-],[m],[m],[-],[-],[m],[m],[m],[°],[m],[km/h],[m],[m/s],[m/s],[m/s],[°],[°],[°],[m/s],[m/s],[m/s],[rad/s],[rad/s2],[Nm],[Nm],[Nm],[s],[N],[N],[N],[N],[km/h],[km/h],[m/s2],[km/h],[°C],[mbar],[%],[m/s]
47190,2873.92223156863,456.823372745098,45,14.8783137254902,15.3246631372549,4.43619607843137,-2.89392156862745,718.686274509804,309.030272307843,300.34177622549,20,40,10.6470588235294,32,5305971.77111824,396388.69595986,0,0,0,0,0,0,0,14.8783137254902,1.06922788671024,4.43619607843137,4.75809666948996,4.62787647486917,-2.89392156862745,-2.87928135969759,-2.34779894200485,0.68030570257138,0.539730281044687,0.56231590392197,8.36229451939191,0.000684442843919345,609.372048533333,608.815350492582,622.388812184593,6.04954523580346,1232.97112952847,2456.75862037574,0,1232.97112952847,14.9861166954688,14.9861166954688,0.0982656308554643,15.1895291346566,25.5,1014.9,36.9,21.4703358659417
47191,2873.92318594059,456.825484455446,45,15.7684653465347,15.7012962302971,4.69487128712871,-0.866039603960396,748.306930693069,301.092780144555,308.553627551485,20,40,10.3663366336634,32,5305973.49171316,396391.358160956,0,0,0,0,0,0,0,15.2439769226185,4.22472872074428,4.69487128712871,5.03554194630416,4.86908514663516,-0.866039603960396,-0.851399395030538,-0.705596314970647,0.871096637173699,0.691097003923045,0.700091086189399,8.70694650405804,0.00210245932996017,609.64640769604,610.500474409313,627.237339352363,5.90397867923842,1253.57003774106,1310.90430116002,0,1253.57003774106,15.2079553758693,15.2079553758693,0.0524207518486063,15.1941203902502,25.5,1014.9,36.9000000000001,23.885715973827
47192,2873.92457415842,456.828329702971,45,15.9029306930693,15.70545829,4.4500297029703,1.47643564356436,750,302.061461674257,323.219532091089,20,40,10,32,5305975.99953543,396394.948522018,0,0,0,0,0,0,0,15.2480177572816,8.4602682140237,4.4500297029703,4.77293409364388,4.6609040624556,1.47643564356436,1.49107585249421,1.20239263658311,0.704617373060244,0.559018293325084,0.553649444003031,8.72664625997164,0,625.280993765347,625.479010218087,631.198811179064,5.90240655753575,1288.28429223495,0,0,1288.28429223495,15.2480177572816,15.2480177572816,0,15.163896946104,25.5,1014.9,36.9000000000001,21.9402929317955
47193,2873.9259819802,456.831095247525,45,15.5442277227723,15.70545829,4.5650396039604,1.41633663366337,749.613861386139,314.925775668317,330.328436730693,20,40,10,32,5305978.54545565,396398.440249715,0,0,0,0,0,0,0,15.2480177572816,12.6958287021574,4.5650396039604,4.89628937758184,4.75885568230538,1.41633663366337,1.43097684259322,1.16641404719434,0.715343940906883,0.567528369687268,0.548347803825994,8.72215333318433,-1.03052879760998E-19,645.25421239901,644.614123177963,631.296494844708,5.90240655753575,1328.74787053117,-95.3422213377722,0,1328.74787053117,15.2466362461114,15.2466362461114,-0.00381368885351089,15.1310289842775,25.5,1014.9,36.9000000000001,22.714776602888
47194,2873.92738148515,456.833786435644,45,15.1516534653465,15.598293389901,4.53929702970297,1.08287128712871,748.688118811881,327.858331173267,323.344447325743,20,40,9.96039603960396,32,5305981.07763518,396401.839075515,0,0,0,0,0,0,0,15.1439741649524,16.9236473535463,4.53929702970297,4.8686788629263,4.73096087608874,1.08287128712871,1.09751149605857,0.900711319718383,0.71272955702269,0.565454210756597,0.551995604504617,8.71138182921988,-5.76016254783606E-05,651.20277849901,650.313078685413,631.226022420489,5.94315950261482,1348.56913189823,-1458.59431107551,0,1348.56913189823,15.1384711045157,15.1384711045157,-0.0583433742958579,15.0911201882136,25.5,1014.9,36.9000000000001,22.4420100515529
47195,2873.92881910891,456.83637009901,45,14.9504356435644,15.3989487128713,3.96039603960396,0.0106930693069308,745.405940594059,328.96899629604,308.688611536634,20,40,10,32,5305983.68283035,396405.105227601,0,0,0,0,0,0,0,14.9504356435643,21.0985419677642,3.96039603960396,4.24777148546689,4.22723916040919,0.0106930693069308,0.0253332782367882,0.0301688221089921,0.471351503057007,0.373953471585226,0.397684885104431,8.67319195152773,-0.000460813003826886,637.657607832673,637.336283331095,630.34092177866,6.01992915126335,1331.73354904263,-779.152367080045,0,1331.73354904263,14.956603470248,14.956603470248,-0.0311625221928142,15.0279935342206,25.5,1014.9,36.9000000000001,18.007481287552
47196,2873.93018633663,456.838965445544,45,14.899,15.34597,4.40620792079208,2.96990099009901,741.554455445545,317.236630641584,299.83543719505,20,40,10.5940594059406,32,5305986.15736842,396408.383588984,0,0,0,0,0,0,0,14.899,25.242773045872,4.40620792079208,4.72593250215719,4.60350146799438,2.96990099009901,2.98454119902886,2.42525467252209,0.659219224357001,0.523001021287093,0.493564109904068,8.62837788690556,-0.00169924795161164,617.072067836634,617.614542909235,629.492705718255,6.0406910921979,1286.49911158172,-255.944116526466,0,1286.49911158172,14.8946405254387,14.8946405254387,-0.0102250324042263,14.9681537185426,25.5,1014.9,36.9000000000001,21.2883123709639
47197,2873.93150158416,456.841614257426,45,14.8647821782178,15.3107256435644,4.26432673267327,2.92405940594059,741.356435643564,303.447917094059,304.924491955446,20,40,11,32,5305988.53442756,396411.726818208,0,0,0,0,0,0,0,14.8647821782178,29.3752328368511,4.26432673267327,4.57375608869034,4.48087181655723,2.92405940594059,2.93869961487045,2.376305792479,0.54854087240799,0.435192764238513,0.454825878864079,8.62607382188643,0.00187205282804672,608.372409049505,609.279934620547,629.175584281591,6.05459665406687,1270.95308342527,3.07519930168469,0,1270.95308342527,14.8710117635526,14.8710117635526,0.000108921783267436,14.9162646591487,25.5,1014.9,36.9000000000001,20.1686708826145
47198,2873.9328729703,456.844193762376,45,14.8709405940594,15.3170688118812,3.23481188118812,1.44693069306931,742.232673267327,300.280135288119,319.276922348515,20,40,11,32,5305991.01702636,396414.985579189,0,0,0,0,0,0,0,14.8709405940594,33.5061634199094,3.23481188118812,3.4695372716145,3.6053275317909,1.44693069306931,1.46157090199916,1.08170642341575,1.08431392723983,0.860255997381435,0.79824557250266,8.6362693095961,-0.000172804876435082,619.557057636634,619.995258880522,629.600543339147,6.05208909346002,1295.30618634136,51.7062810278324,0,1295.30618634136,14.8743939809822,14.8743939809822,0.00206951388207786,14.9004292683402,25.5,1014.9,36.9000000000001,13.8528045779765
